,Germany,Greece,Italy,Japan,"Korea, South",Spain,Day
2020-01-22,0,0,0,2,1,0,1
2020-01-23,0,0,0,2,1,0,2
2020-01-24,0,0,0,2,2,0,3
2020-01-25,0,0,0,2,2,0,4
2020-01-26,0,0,0,4,3,0,5
2020-01-27,1,0,0,4,4,0,6
2020-01-28,4,0,0,7,4,0,7
2020-01-29,4,0,0,7,4,0,8
2020-01-30,4,0,0,11,4,0,9
2020-01-31,5,0,2,15,11,0,10
2020-02-01,8,0,2,20,12,1,11
2020-02-02,10,0,2,20,15,1,12
2020-02-03,12,0,2,20,15,1,13
2020-02-04,12,0,2,22,16,1,14
2020-02-05,12,0,2,23,19,1,15
2020-02-06,12,0,2,23,23,1,16
2020-02-07,13,0,3,23,24,1,17
2020-02-08,13,0,3,24,24,1,18
2020-02-09,14,0,3,24,25,2,19
2020-02-10,14,0,3,26,27,2,20
2020-02-11,16,0,3,27,28,2,21
2020-02-12,16,0,3,28,28,2,22
2020-02-13,16,0,3,33,28,2,23
2020-02-14,16,0,3,43,28,2,24
2020-02-15,16,0,3,54,28,2,25
2020-02-16,16,0,3,60,29,2,26
2020-02-17,16,0,3,67,30,2,27
2020-02-18,16,0,3,79,31,2,28
2020-02-19,16,0,3,85,31,2,29
2020-02-20,16,0,3,95,104,2,30
2020-02-21,16,0,20,112,204,2,31
2020-02-22,16,0,62,137,433,2,32
2020-02-23,16,0,155,149,602,2,33
2020-02-24,16,0,229,160,833,2,34
2020-02-25,16,0,322,173,977,6,35
2020-02-26,21,1,453,192,1261,13,36
2020-02-27,26,3,655,218,1766,15,37
2020-02-28,53,4,888,236,2337,32,38
2020-02-29,66,4,1128,245,3150,45,39
2020-03-01,117,7,1694,259,3736,84,40
2020-03-02,150,7,2036,278,4335,120,41
2020-03-03,188,7,2502,298,5186,165,42
2020-03-04,262,9,3089,333,5621,222,43
2020-03-05,400,31,3858,365,6088,259,44
2020-03-06,639,45,4636,420,6593,400,45
2020-03-07,795,46,5883,466,7041,500,46
2020-03-08,902,73,7375,499,7314,673,47
2020-03-09,1139,73,9172,527,7478,1073,48
2020-03-10,1296,89,10149,585,7513,1695,49
2020-03-11,1567,99,12462,640,7755,2277,50
2020-03-12,2369,99,15113,696,7869,2277,51
2020-03-13,3062,190,17660,733,7979,5232,52
2020-03-14,3795,228,21157,795,8086,6391,53
2020-03-15,4838,331,24747,826,8162,7798,54
2020-03-16,6012,331,27980,843,8236,9942,55
2020-03-17,7156,387,31506,893,8320,11748,56
2020-03-18,8198,418,35713,928,8413,13910,57
2020-03-19,10999,418,41035,968,8565,17963,58
2020-03-20,13957,495,47021,1022,8652,20410,59
2020-03-21,16662,530,53578,1059,8799,25374,60
2020-03-22,18610,624,59138,1104,8961,28768,61
2020-03-23,22672,695,63927,1144,8961,35136,62
2020-03-24,27436,743,69176,1217,9037,39885,63
2020-03-25,31554,835,74386,1314,9137,49515,64
2020-03-26,36508,835,80589,1416,9241,57786,65
2020-03-27,42288,835,86498,1530,9332,65719,66
2020-03-28,48582,835,92472,1728,9478,73235,67
2020-03-29,52547,1156,97689,1907,9583,80110,68
2020-03-30,57298,1156,101739,2001,9661,87956,69
2020-03-31,61913,1156,105792,2255,9786,95923,70
2020-04-01,67366,1156,110574,2535,9887,104118,71
2020-04-02,73522,1156,115242,2818,9976,112065,72
2020-04-03,79696,1613,119827,3154,10062,119199,73
2020-04-04,85778,1673,124632,3525,10156,126168,74
2020-04-05,91714,1735,128948,3876,10237,131646,75
2020-04-06,95391,1755,132547,4110,10284,136675,76
2020-04-07,99225,1832,135586,4485,10331,141942,77
2020-04-08,103228,1884,139422,5020,10384,148220,78
2020-04-09,108202,1955,143626,5614,10423,153222,79
2020-04-10,113525,2009,147577,6250,10450,158273,80
2020-04-11,117658,2081,152271,6951,10480,163027,81
2020-04-12,120479,2081,156363,7473,10512,166831,82
2020-04-13,123016,2145,159516,7773,10537,170099,83
2020-04-14,125098,2170,162488,8277,10564,172541,84
2020-04-15,127584,2192,165155,8835,10591,177644,85
2020-04-16,130450,2207,168941,9398,10613,184948,86
2020-04-17,133830,2224,172434,9958,10635,190839,87
2020-04-18,137439,2235,175925,10548,10653,191726,88
2020-04-19,139897,2245,178972,10914,10661,198674,89
2020-04-20,141672,2245,181228,11258,10674,200210,90
2020-04-21,143457,2401,183957,11641,10683,204178,91
2020-04-22,145694,2408,187327,12037,10694,208389,92
2020-04-23,148046,2463,189973,12469,10708,213024,93
2020-04-24,150383,2490,192994,12854,10718,202990,94
2020-04-25,152438,2506,195351,13186,10728,205905,95
2020-04-26,154175,2517,197675,13405,10738,207634,96
2020-04-27,155193,2534,199414,13576,10752,209465,97
2020-04-28,156337,2566,201505,13860,10761,210773,98
2020-04-29,157641,2576,203591,14076,10765,212917,99
2020-04-30,159119,2591,205463,14284,10774,213435,100
2020-05-01,160758,2612,207428,14558,10780,215216,101
2020-05-02,161703,2620,209328,14861,10793,216582,102
2020-05-03,162496,2626,210717,15061,10801,217466,103
2020-05-04,163175,2632,211938,15229,10804,218011,104
2020-05-05,163860,2642,213013,15354,10806,219329,105
2020-05-06,164807,2663,214457,15455,10810,220325,106
2020-05-07,166091,2678,215858,15553,10822,221447,107
2020-05-08,167300,2691,217185,15640,10840,222857,108
2020-05-09,168551,2710,218268,15755,10874,223578,109
2020-05-10,169218,2716,219070,15824,10909,224350,110
2020-05-11,169575,2726,219814,15861,10936,227436,111
2020-05-12,170508,2744,221216,15948,10962,228030,112
2020-05-13,171306,2760,222104,15998,10991,228691,113
2020-05-14,172239,2770,223096,16096,11018,229540,114
2020-05-15,173152,2810,223885,16148,11037,230183,115
2020-05-16,173772,2819,224760,16202,11050,230698,116
2020-05-17,174355,2834,225435,16226,11065,230698,117
2020-05-18,174697,2836,225886,16259,11078,231606,118
2020-05-19,175210,2840,226699,16287,11110,232037,119
2020-05-20,176007,2850,227364,16321,11122,232555,120
2020-05-21,176752,2853,228006,16362,11142,233037,121
2020-05-22,177212,2873,228658,16385,11165,234824,122
2020-05-23,177850,2876,229327,16410,11190,235290,123
2020-05-24,178281,2878,229858,16451,11206,235772,124
2020-05-25,178570,2882,230158,16472,11225,235400,125
2020-05-26,179002,2889,230555,16502,11265,236259,126
2020-05-27,179364,2903,231139,16528,11344,236259,127
2020-05-28,179717,2906,231732,16588,11402,237906,128
2020-05-29,180458,2909,232248,16661,11441,238564,129
2020-05-30,181196,2915,232664,16706,11468,239228,130
2020-05-31,181482,2917,232997,16741,11503,239479,131
2020-06-01,181815,2918,233197,16778,11541,239638,132
2020-06-02,182028,2937,233515,16829,11590,239932,133
2020-06-03,182370,2952,233836,16858,11629,240326,134
2020-06-04,182764,2952,234013,16902,11668,240660,135
2020-06-05,183271,3049,234531,16949,11719,240978,136
2020-06-06,183678,3049,234801,16995,11776,241310,137
2020-06-07,183979,3049,234998,17033,11814,241550,138
2020-06-08,184193,3049,235278,17054,11852,241717,139
2020-06-09,184543,3058,235561,17099,11902,241966,140
2020-06-10,184861,3068,235763,17135,11947,242280,141
2020-06-11,185416,3088,236142,17179,12003,242707,142
2020-06-12,185674,3108,236305,17240,12051,243209,143
2020-06-13,186022,3112,236651,17285,12085,243605,144
2020-06-14,186269,3121,236989,17360,12121,243928,145
2020-06-15,186461,3134,237290,17432,12155,244109,146
2020-06-16,186839,3148,237500,17474,12198,244328,147
2020-06-17,187184,3203,237828,17520,12257,244683,148
2020-06-18,187764,3227,238159,17589,12306,245268,149
2020-06-19,188534,3237,238011,17650,12373,245575,150
2020-06-20,189135,3256,238275,17714,12421,245938,151
2020-06-21,189822,3266,238499,17769,12438,246272,152
2020-06-22,190359,3287,238720,17812,12484,246504,153
2020-06-23,190862,3302,238833,17869,12535,246752,154
